2025-05-18 19:51:16,146 |     INFO |                      root | logger.py:115 | Log directory: C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\logs
2025-05-18 19:51:16,147 |     INFO |                      root | start_debug.py:277 | MainWindow imported successfully in 0.46 seconds
2025-05-18 19:51:16,148 |     INFO |                      root | start_debug.py:57 | MEMORY SNAPSHOT (after_mainwindow_import): RSS: N/A, VMS: N/A
2025-05-18 19:51:16,148 |     INFO |                      root | start_debug.py:287 | Creating MainWindow instance...
2025-05-18 19:51:16,168 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 19:51:17,996 |     INFO |      utils.device_manager | device_manager.py:35 | OpenVINO version: 2025.1.0-18503-6fec06580ab-releases/2025/1
2025-05-18 19:51:17,997 |     INFO |      utils.device_manager | device_manager.py:36 | Available devices: ['CPU', 'GPU']
2025-05-18 19:51:18,053 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 19:51:18,055 |     INFO | ui.components.main_window | main_window.py:118 | Main window initialized
2025-05-18 19:51:18,066 |     INFO |                      root | start_debug.py:328 | Added video_processor_start method to MainWindow
2025-05-18 19:51:18,066 |     INFO |                      root | start_debug.py:332 | MainWindow instance created successfully
2025-05-18 19:51:18,067 |     INFO |                      root | start_debug.py:57 | MEMORY SNAPSHOT (after_mainwindow_create): RSS: N/A, VMS: N/A
2025-05-18 19:51:18,120 |     INFO |                      root | start_debug.py:356 | MainWindow displayed
2025-05-18 19:51:18,121 |     INFO |                      root | start_debug.py:57 | MEMORY SNAPSHOT (after_mainwindow_show): RSS: N/A, VMS: N/A
2025-05-18 19:51:18,123 |     INFO |                      root | start_debug.py:387 | Debug toolbar added
2025-05-18 19:51:18,123 |     INFO |                      root | start_debug.py:392 | Starting event loop...
2025-05-18 19:51:27,221 |     INFO |                      root | start_debug.py:394 | Application exiting with code: 0
2025-05-18 19:52:45,146 |     INFO |                      root | logger.py:115 | Log directory: C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\logs
2025-05-18 19:52:45,147 |     INFO |                      root | start_debug.py:277 | MainWindow imported successfully in 0.27 seconds
2025-05-18 19:52:45,147 |     INFO |                      root | start_debug.py:57 | MEMORY SNAPSHOT (after_mainwindow_import): RSS: N/A, VMS: N/A
2025-05-18 19:52:45,147 |     INFO |                      root | start_debug.py:287 | Creating MainWindow instance...
2025-05-18 19:52:45,150 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 19:52:45,911 |     INFO |      utils.device_manager | device_manager.py:35 | OpenVINO version: 2025.1.0-18503-6fec06580ab-releases/2025/1
2025-05-18 19:52:45,911 |     INFO |      utils.device_manager | device_manager.py:36 | Available devices: ['CPU', 'GPU']
2025-05-18 19:52:45,931 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
